ppt,block,trial,lcol,rcol,sim,rt
15,2,56,6,8,8,1.18
16,1,1,4,3,6,8.478
16,1,2,6,2,4,5.581
16,1,3,6,7,5,3.44
16,1,4,1,5,2,1.805
16,1,5,1,3,7,3.992
16,1,6,8,5,4,2.269
16,1,7,2,6,5,6.278
16,1,8,5,1,3,2.846
16,1,9,4,1,4,2.571
16,1,10,8,6,8,2.025
16,1,11,2,1,6,2.384
16,1,12,3,5,6,1.352
16,1,13,4,2,7,1.665
16,1,14,5,8,6,5.782
16,1,15,1,2,4,4.273
16,1,16,2,4,4,1.195
16,1,17,3,2,5,1.448
16,1,18,1,7,2,1.334
16,1,19,3,6,4,1.288
16,1,20,3,8,3,2.571
16,1,21,5,2,6,1.461
16,1,22,6,1,3,2.27
16,1,23,4,5,5,2.363
16,1,24,1,6,4,2.257
16,1,25,2,8,4,3.539
16,1,26,7,3,3,1.76
16,1,27,6,5,7,2.243
16,1,28,6,4,4,1.399
16,1,29,3,4,7,2.241
16,1,30,4,7,3,1.306
16,1,31,7,5,8,2.633
16,1,32,5,4,4,1.651
16,1,33,4,6,6,2.243
16,1,34,3,1,8,2.258
16,1,35,7,2,3,1.708
16,1,36,4,8,5,1.646
16,1,37,8,1,4,1.23
16,1,38,8,4,6,1.209
16,1,39,2,3,7,1.729
16,1,40,8,7,7,1.567
16,1,41,7,6,7,1.196
16,1,42,2,5,3,2.041
16,1,43,5,7,8,1.584
16,1,44,3,7,4,1.912
16,1,45,2,7,4,1.506
16,1,46,7,4,4,1.464
16,1,47,5,6,6,1.21
16,1,48,5,3,4,1.446
16,1,49,6,8,6,1.632
16,1,50,8,3,4,1.34
16,1,51,7,8,4,1.319
16,1,52,6,3,4,0.697
16,1,53,1,4,6,1.474
16,1,54,1,8,2,1.246
16,1,55,7,1,3,1.352
16,1,56,8,2,3,2.956
16,2,1,1,7,3,7.377
16,2,2,4,5,4,2.021
16,2,3,4,1,7,1.396
16,2,4,3,4,6,0.763
16,2,5,2,7,4,0.929
16,2,6,1,5,4,2.63
16,2,7,7,2,4,1.714
16,2,8,6,2,4,0.868
16,2,9,1,6,4,0.572
16,2,10,8,5,6,0.882
16,2,11,2,4,7,0.873
16,2,12,6,3,6,0.62
16,2,13,2,8,5,0.741
16,2,14,7,8,4,0.838
16,2,15,5,4,6,1.224
16,2,16,7,1,6,0.588
16,2,17,5,8,6,1.556
16,2,18,8,1,4,1.042
16,2,19,2,3,7,1.134
16,2,20,3,6,5,1.323
16,2,21,3,8,3,1.135
16,2,22,7,3,4,1.508
16,2,23,1,4,6,1.216
16,2,24,8,7,4,0.903
16,2,25,2,5,3,1.228
16,2,26,4,8,5,1.933
16,2,27,2,6,5,1.212
16,2,28,4,2,8,1.289
16,2,29,8,2,6,1.274
