cond,subj,blk,trial,triad,resp,rt,left1,mid2,right3
1,24,11,5,29,3,750,3,1,2
1,24,11,6,21,2,1279,6,2,8
1,24,11,7,31,1,759,1,2,4
1,24,11,8,6,1,937,7,3,1
1,24,12,1,42,1,674,8,7,5
1,24,12,2,44,3,664,6,8,7
1,24,12,3,22,3,553,6,8,2
1,24,12,4,3,2,1206,3,1,7
1,24,12,5,12,3,749,7,5,1
1,24,12,6,27,1,703,2,1,3
1,24,12,7,15,3,596,4,2,8
1,24,12,8,32,1,914,1,4,2
1,25,1,1,18,2,4799,8,4,2
1,25,1,2,11,2,985,7,1,5
1,25,1,3,20,1,1118,2,8,6
1,25,1,4,39,3,2958,7,5,8
1,25,1,5,34,3,1278,2,4,1
1,25,1,6,25,2,855,1,2,3
1,25,1,7,5,2,1487,7,1,3
1,25,1,8,44,1,847,6,8,7
1,25,2,1,42,3,1506,8,7,5
1,25,2,2,24,3,795,8,6,2
1,25,2,3,2,2,749,1,7,3
1,25,2,4,28,1,672,2,3,1
1,25,2,5,9,2,542,5,1,7
1,25,2,6,32,1,918,1,4,2
1,25,2,7,14,2,1314,2,8,4
1,25,2,8,45,2,853,7,6,8
1,25,3,1,17,2,848,8,2,4
1,25,3,2,21,2,531,6,2,8
1,25,3,3,37,3,1599,5,7,8
1,25,3,4,46,3,987,7,8,6
1,25,3,5,12,3,724,7,5,1
1,25,3,6,30,2,908,3,2,1
1,25,3,7,35,2,554,4,1,2
1,25,3,8,6,2,1226,7,3,1
1,25,4,1,26,3,838,1,3,2
1,25,4,2,1,1,653,1,3,7
1,25,4,3,33,2,652,2,1,4
1,25,4,4,10,3,588,5,7,1
1,25,4,5,48,2,821,8,7,6
1,25,4,6,16,2,953,4,8,2
1,25,4,7,41,1,1313,8,5,7
1,25,4,8,19,1,526,2,6,8
1,25,5,1,40,3,2205,7,8,5
1,25,5,2,22,3,1403,6,8,2
1,25,5,3,4,2,640,3,7,1
1,25,5,4,47,2,899,8,6,7
1,25,5,5,13,1,817,2,4,8
1,25,5,6,36,2,570,4,2,1
1,25,5,7,29,3,792,3,1,2
1,25,5,8,8,1,638,1,7,5
1,25,6,1,3,2,838,3,1,7
1,25,6,2,31,2,1374,1,2,4
1,25,6,3,15,2,500,4,2,8
1,25,6,4,27,1,1004,2,1,3
1,25,6,5,38,2,654,5,8,7
1,25,6,6,7,3,1192,1,5,7
1,25,6,7,43,2,947,6,7,8
1,25,6,8,23,2,512,8,2,6
1,25,7,1,12,3,906,7,5,1
1,25,7,2,33,2,680,2,1,4
1,25,7,3,1,3,791,1,3,7
1,25,7,4,42,3,2189,8,7,5
1,25,7,5,16,2,554,4,8,2
1,25,7,6,21,2,499,6,2,8
1,25,7,7,45,2,2643,7,6,8
1,25,7,8,30,2,487,3,2,1
1,25,8,1,36,3,1202,4,2,1
1,25,8,2,38,2,629,5,8,7
1,25,8,3,24,3,904,8,6,2
1,25,8,4,2,2,739,1,7,3
1,25,8,5,15,2,536,4,2,8
1,25,8,6,25,2,448,1,2,3
1,25,8,7,7,1,823,1,5,7
1,25,8,8,43,2,794,6,7,8
1,25,9,1,13,3,1040,2,4,8
1,25,9,2,4,2,610,3,7,1
1,25,9,3,11,2,654,7,1,5
1,25,9,4,39,3,686,7,5,8
1,25,9,5,34,2,562,2,4,1
1,25,9,6,23,2,413,8,2,6
1,25,9,7,29,3,724,3,1,2
1,25,9,8,48,2,1436,8,7,6
1,25,10,1,20,1,625,2,8,6
1,25,10,2,14,1,503,2,8,4
1,25,10,3,44,3,967,6,8,7
1,25,10,4,32,1,597,1,4,2
1,25,10,5,26,3,961,1,3,2
1,25,10,6,9,2,627,5,1,7
1,25,10,7,3,3,815,3,1,7
1,25,10,8,40,2,551,7,8,5
1,25,11,1,28,1,818,2,3,1
1,25,11,2,5,1,769,7,1,3
1,25,11,3,19,3,1208,2,6,8
1,25,11,4,17,1,497,8,2,4
1,25,11,5,37,3,868,5,7,8
1,25,11,6,10,3,603,5,7,1
1,25,11,7,35,3,1451,4,1,2
1,25,11,8,46,2,550,7,8,6
1,25,12,1,31,2,494,1,2,4
1,25,12,2,8,1,574,1,7,5
1,25,12,3,47,1,1020,8,6,7
1,25,12,4,18,1,690,8,4,2
1,25,12,5,41,1,1416,8,5,7
1,25,12,6,6,1,1105,7,3,1
1,25,12,7,27,1,550,2,1,3
1,25,12,8,22,2,803,6,8,2
1,26,1,1,18,1,1100,8,4,2
1,26,1,2,29,3,1711,3,1,2
1,26,1,3,10,3,1298,5,7,1
1,26,1,4,44,3,615,6,8,7
1,26,1,5,24,1,639,8,6,2
1,26,1,6,4,2,802,3,7,1
1,26,1,7,37,3,1575,5,7,8
1,26,1,8,32,1,1151,1,4,2
1,26,2,1,21,2,1468,6,2,8
1,26,2,2,3,3,804,3,1,7
1,26,2,3,43,2,593,6,7,8
1,26,2,4,34,3,778,2,4,1
1,26,2,5,7,3,895,1,5,7
1,26,2,6,13,3,710,2,4,8
1,26,2,7,40,2,1972,7,8,5
1,26,2,8,26,1,1194,1,3,2
1,26,3,1,22,1,1231,6,8,2
1,26,3,2,16,1,936,4,8,2
1,26,3,3,41,3,896,8,5,7
1,26,3,4,48,2,612,8,7,6
1,26,3,5,31,1,646,1,2,4
1,26,3,6,28,1,1477,2,3,1
1,26,3,7,1,3,675,1,3,7
1,26,3,8,11,2,852,7,1,5
1,26,4,1,46,2,1270,7,8,6
1,26,4,2,2,2,606,1,7,3
1,26,4,3,20,1,1332,2,8,6
1,26,4,4,25,2,953,1,2,3
1,26,4,5,12,3,993,7,5,1
1,26,4,6,42,1,1686,8,7,5
1,26,4,7,17,1,1682,8,2,4
1,26,4,8,33,2,721,2,1,4
1,26,5,1,47,2,1031,8,6,7
1,26,5,2,19,2,1157,2,6,8
1,26,5,3,36,3,852,4,2,1
1,26,5,4,5,2,1238,7,1,3
1,26,5,5,38,2,859,5,8,7
1,26,5,6,14,2,1073,2,8,4
1,26,5,7,8,2,766,1,7,5
1,26,5,8,30,1,1104,3,2,1
1,26,6,1,23,2,1172,8,2,6
1,26,6,2,45,1,494,7,6,8
1,26,6,3,6,1,728,7,3,1
1,26,6,4,15,3,609,4,2,8
1,26,6,5,27,1,586,2,1,3
1,26,6,6,39,1,786,7,5,8
1,26,6,7,35,2,706,4,1,2
1,26,6,8,9,3,637,5,1,7
1,26,7,1,42,2,1290,8,7,5
1,26,7,2,46,1,952,7,8,6
1,26,7,3,11,2,588,7,1,5
1,26,7,4,24,3,679,8,6,2
1,26,7,5,25,2,542,1,2,3
1,26,7,6,2,2,561,1,7,3
1,26,7,7,17,1,1371,8,2,4
1,26,7,8,36,2,1326,4,2,1
1,26,8,1,4,2,1124,3,7,1
1,26,8,2,37,1,1198,5,7,8
1,26,8,3,12,3,577,7,5,1
1,26,8,4,43,2,590,6,7,8
1,26,8,5,21,2,482,6,2,8
1,26,8,6,34,3,505,2,4,1
1,26,8,7,30,2,792,3,2,1
1,26,8,8,16,3,714,4,8,2
1,26,9,1,32,2,1029,1,4,2
1,26,9,2,9,2,449,5,1,7
1,26,9,3,23,3,993,8,2,6
1,26,9,4,28,2,781,2,3,1
1,26,9,5,6,1,471,7,3,1
1,26,9,6,44,3,823,6,8,7
1,26,9,7,15,3,706,4,2,8
1,26,9,8,38,1,752,5,8,7
1,26,10,1,19,1,532,2,6,8
1,26,10,2,18,3,833,8,4,2
1,26,10,3,33,2,589,2,1,4
1,26,10,4,1,3,664,1,3,7
1,26,10,5,45,1,690,7,6,8
1,26,10,6,40,3,1016,7,8,5
1,26,10,7,10,3,617,5,7,1
1,26,10,8,27,3,1084,2,1,3
1,26,11,1,31,1,601,1,2,4
1,26,11,2,47,1,669,8,6,7
1,26,11,3,3,2,477,3,1,7
1,26,11,4,41,3,510,8,5,7
1,26,11,5,7,1,438,1,5,7
1,26,11,6,13,3,623,2,4,8
1,26,11,7,26,2,619,1,3,2
1,26,11,8,22,1,623,6,8,2
1,26,12,1,48,2,714,8,7,6
1,26,12,2,39,1,1018,7,5,8
1,26,12,3,35,2,397,4,1,2
1,26,12,4,5,1,809,7,1,3
1,26,12,5,14,1,949,2,8,4
1,26,12,6,29,1,645,3,1,2
1,26,12,7,8,3,463,1,7,5
1,26,12,8,20,3,1066,2,8,6
1,32,1,1,15,1,5640,4,2,8
1,32,1,2,30,2,1274,3,2,1
1,32,1,3,40,2,1629,7,8,5
1,32,1,4,3,3,1062,3,1,7
1,32,1,5,46,1,1131,7,8,6
1,32,1,6,20,3,507,2,8,6
1,32,1,7,32,2,153,1,4,2
1,32,1,8,8,1,130,1,7,5
1,32,2,1,39,3,961,7,5,8
1,32,2,2,4,2,634,3,7,1
1,32,2,3,33,2,553,2,1,4
1,32,2,4,14,2,463,2,8,4
1,32,2,5,28,2,724,2,3,1
1,32,2,6,19,3,823,2,6,8
1,32,2,7,48,2,537,8,7,6
